"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2020-03-12;NA;NA;NA
"Burgenland";2020-03-13;NA;NA;NA
"Burgenland";2020-03-14;NA;NA;NA
"Burgenland";2020-03-15;NA;NA;NA
"Burgenland";2020-03-16;NA;NA;NA
"Burgenland";2020-03-17;NA;NA;NA
"Burgenland";2020-03-18;NA;NA;NA
"Burgenland";2020-03-19;2,04678671548637;1,34884534266981;2,8879420743033
"Burgenland";2020-03-20;1,88305487145883;1,27944442535615;2,60146250035497
"Burgenland";2020-03-21;2,40827237555664;1,78165316116443;3,12785610998403
"Burgenland";2020-03-22;2,32712402007308;1,78006548171596;2,94636384036596
"Burgenland";2020-03-23;2,41844195363595;1,92904401703807;2,96233192309468
"Burgenland";2020-03-24;1,80898298246587;1,44291567304442;2,21581007112331
"Burgenland";2020-03-25;1,44505314098541;1,15425712421321;1,76802618621863
"Burgenland";2020-03-26;1,64328271344787;1,35429753799005;1,9597979169556
"Burgenland";2020-03-27;1,71986258274417;1,44297056572989;2,02069738566032
"Burgenland";2020-03-28;1,6043688394232;1,35710603443825;1,87201886094479
"Burgenland";2020-03-29;1,53344522572015;1,30968818992388;1,77458885434212
"Burgenland";2020-03-30;1,38479127744395;1,18667127060224;1,59798100886472
"Burgenland";2020-03-31;1,21645075747889;1,0414456885642;1,40484748082779
"Burgenland";2020-04-01;1,14556475071207;0,982568148205985;1,32088613579235
"Burgenland";2020-04-02;1,10413785495815;0,948306866410442;1,27164891625936
"Burgenland";2020-04-03;0,999359574430887;0,85395252604863;1,1560301990035
"Burgenland";2020-04-04;0,983201490242646;0,840145446833411;1,13733899539915
"Burgenland";2020-04-05;0,872064804212889;0,7376635466468;1,01754766194511
"Burgenland";2020-04-06;0,901844062292539;0,763737906219812;1,05125851725964
"Burgenland";2020-04-07;0,937857448325289;0,794689649517856;1,09270779011402
"Burgenland";2020-04-08;0,831569251681343;0,69527327304564;0,979883395084659
"Burgenland";2020-04-09;0,724098165250318;0,59512062894166;0,865537191831945
"Burgenland";2020-04-10;0,72294652975482;0,590092389088812;0,869087297274655
"Burgenland";2020-04-11;0,680886328026366;0,546807631677193;0,82944548276004
"Burgenland";2020-04-12;0,735183731954065;0,58885203129008;0,897509768080808
"Burgenland";2020-04-13;0,784561397678393;0,625796897012626;0,961003538032542
"Burgenland";2020-04-14;0,784322880021209;0,618975351472368;0,968947728737359
"Burgenland";2020-04-15;0,780130093242123;0,60928807520437;0,971765082224584
"Burgenland";2020-04-16;0,851136698872276;0,665962047370126;1,05868211665352
"Burgenland";2020-04-17;0,856994697777132;0,665489915925259;1,07234778163875
"Burgenland";2020-04-18;0,903537157395598;0,701631956965638;1,13058583544857
"Burgenland";2020-04-19;0,928853746222606;0,719848895103191;1,16409195261531
"Burgenland";2020-04-20;0,987470466453024;0,768310964251883;1,23371129915404
"Burgenland";2020-04-21;0,903989197125517;0,693083333877111;1,14248271692928
"Burgenland";2020-04-22;0,922456501002057;0,707242109865998;1,16582212803542
"Burgenland";2020-04-23;0,871263637125466;0,659886570379131;1,11155903490957
"Burgenland";2020-04-24;0,838738071623885;0,62827237099784;1,07914068681673
"Burgenland";2020-04-25;0,778945934279105;0,572340173651337;1,01689823404623
"Burgenland";2020-04-26;0,775447843287466;0,563441590040122;1,02078399335736
"Burgenland";2020-04-27;0,815442136975533;0,590139517832034;1,07660737013668
"Burgenland";2020-04-28;0,856015535291016;0,616940703780845;1,1336321666358
"Burgenland";2020-04-29;0,780033471239152;0,546325853552905;1,05470335032149
"Burgenland";2020-04-30;0,692489161768602;0,467219529485255;0,961378950882787
"Burgenland";2020-05-01;0,678476900365811;0,447120552543752;0,95730638282148
"Burgenland";2020-05-02;0,698299842065809;0,451902839166888;0,9974542203949
"Burgenland";2020-05-03;0,625146045026483;0,381855445140192;0,927430838141832
"Burgenland";2020-05-04;0,600507233928419;0,349817593147481;0,917822236263534
"Burgenland";2020-05-05;0,608692598141166;0,340680626504146;0,953197234000114
"Burgenland";2020-05-06;0,659130436858684;0,360352743335995;1,04662361236268
"Burgenland";2020-05-07;NA;NA;NA
"Burgenland";2020-05-08;NA;NA;NA
"Burgenland";2020-05-09;NA;NA;NA
"Burgenland";2020-05-10;NA;NA;NA
"Burgenland";2020-05-11;NA;NA;NA
"Burgenland";2020-05-12;NA;NA;NA
"Burgenland";2020-05-13;NA;NA;NA
"Burgenland";2020-05-14;NA;NA;NA
"Burgenland";2020-05-15;NA;NA;NA
"Burgenland";2020-05-16;NA;NA;NA
"Burgenland";2020-05-17;NA;NA;NA
"Burgenland";2020-05-18;NA;NA;NA
"Burgenland";2020-05-19;NA;NA;NA
"Burgenland";2020-05-20;NA;NA;NA
"Burgenland";2020-05-21;NA;NA;NA
"Burgenland";2020-05-22;NA;NA;NA
"Burgenland";2020-05-23;NA;NA;NA
"Burgenland";2020-05-24;NA;NA;NA
"Burgenland";2020-05-25;NA;NA;NA
"Burgenland";2020-05-26;NA;NA;NA
"Burgenland";2020-05-27;NA;NA;NA
"Burgenland";2020-05-28;NA;NA;NA
"Burgenland";2020-05-29;NA;NA;NA
"Burgenland";2020-05-30;NA;NA;NA
"Burgenland";2020-05-31;NA;NA;NA
"Burgenland";2020-06-01;NA;NA;NA
"Burgenland";2020-06-02;NA;NA;NA
"Burgenland";2020-06-03;NA;NA;NA
"Burgenland";2020-06-04;NA;NA;NA
"Burgenland";2020-06-05;NA;NA;NA
"Burgenland";2020-06-06;NA;NA;NA
"Burgenland";2020-06-07;NA;NA;NA
"Burgenland";2020-06-08;NA;NA;NA
"Burgenland";2020-06-09;NA;NA;NA
"Burgenland";2020-06-10;NA;NA;NA
"Burgenland";2020-06-11;NA;NA;NA
"Burgenland";2020-06-12;NA;NA;NA
"Burgenland";2020-06-13;NA;NA;NA
"Burgenland";2020-06-14;NA;NA;NA
"Burgenland";2020-06-15;NA;NA;NA
"Burgenland";2020-06-16;NA;NA;NA
"Burgenland";2020-06-17;NA;NA;NA
"Burgenland";2020-06-18;NA;NA;NA
"Burgenland";2020-06-19;NA;NA;NA
"Burgenland";2020-06-20;NA;NA;NA
"Burgenland";2020-06-21;NA;NA;NA
"Burgenland";2020-06-22;NA;NA;NA
"Burgenland";2020-06-23;NA;NA;NA
"Burgenland";2020-06-24;NA;NA;NA
"Burgenland";2020-06-25;NA;NA;NA
"Burgenland";2020-06-26;NA;NA;NA
"Burgenland";2020-06-27;NA;NA;NA
"Burgenland";2020-06-28;NA;NA;NA
"Burgenland";2020-06-29;NA;NA;NA
"Burgenland";2020-06-30;NA;NA;NA
"Burgenland";2020-07-01;NA;NA;NA
"Burgenland";2020-07-02;1,40041897399858;0,765622084613825;2,22370487452073
"Burgenland";2020-07-03;1,68684835686031;0,999733243138893;2,55076275874296
"Burgenland";2020-07-04;1,50224146028345;0,890323496453597;2,27160998553706
"Burgenland";2020-07-05;1,3209523925807;0,782880105432109;1,99747425746005
"Burgenland";2020-07-06;1,19829136028487;0,710183403843521;1,81199273989701
"Burgenland";2020-07-07;1,06394239109655;0,61978565031797;1,62614191716499
"Burgenland";2020-07-08;1,15652524134398;0,696303744653221;1,73160804258413
"Burgenland";2020-07-09;1,31261726586998;0,822610252160094;1,91527151862409
"Burgenland";2020-07-10;1,19586214697082;0,740257517133414;1,75896390072088
"Burgenland";2020-07-11;1,07870271016422;0,658899639277476;1,60030150802776
"Burgenland";2020-07-12;1,04470264330937;0,638131515145608;1,54986095777403
"Burgenland";2020-07-13;1,08540926479805;0,671885442204409;1,59650150238792
"Burgenland";2020-07-14;1,2316706597079;0,789154632001116;1,77110612029797
"Burgenland";2020-07-15;1,04658743733959;0,647854119131114;1,5393994415589
"Burgenland";2020-07-16;0,873807347115497;0,517873612917007;1,32132519812672
"Burgenland";2020-07-17;1,03302142404884;0,639456543088218;1,51944552988474
"Burgenland";2020-07-18;1,1066833575816;0,693552568225743;1,61478838502591
"Burgenland";2020-07-19;1,25675630061903;0,81330641391881;1,79515560586679
"Burgenland";2020-07-20;1,40801371990722;0,942968886149863;1,96480041043198
"Burgenland";2020-07-21;1,21697577616673;0,801994704873006;1,71710883249732
"Burgenland";2020-07-22;1,04743403461906;0,677844080107601;1,49615886397061
"Burgenland";2020-07-23;1,05098368132853;0,686537433932461;1,49178772979418
"Burgenland";2020-07-24;1,07973942865713;0,711555087113736;1,52347330657859
"Burgenland";2020-07-25;1,1893633618618;0,802458465771277;1,6511867104531
"Burgenland";2020-07-26;1,23598086570317;0,845409997178498;1,6995519241937
"Burgenland";2020-07-27;1,03203723018415;0,685781244502881;1,44793284351485
"Burgenland";2020-07-28;1,10746680334323;0,752469962124242;1,52997844245156
"Burgenland";2020-07-29;1,22834567577838;0,855587769853634;1,66744739141397
"Burgenland";2020-07-30;1,32122366710197;0,939519185034474;1,7669831529255
"Burgenland";2020-07-31;1,24032243036469;0,881990497121692;1,65878714802107
"Burgenland";2020-08-01;1,03969262991667;0,724184011149774;1,41135577534257
"Burgenland";2020-08-02;0,915240171306229;0,626023599646461;1,2585131674817
"Burgenland";2020-08-03;0,976306668512185;0,676120749310834;1,33077115102395
"Burgenland";2020-08-04;0,995871471726521;0,689669944288222;1,35743928362288
"Burgenland";2020-08-05;0,980856422457945;0,675176429124898;1,34271671070055
"Burgenland";2020-08-06;0,932137407319575;0,633342143947739;1,28775881524969
"Burgenland";2020-08-07;0,888361032013368;0,594949325431139;1,23965561956787
"Burgenland";2020-08-08;0,853729040827233;0,562612817402493;1,20458081851176
"Burgenland";2020-08-09;0,893025337763273;0,588509324696245;1,26002647312113
"Burgenland";2020-08-10;0,86706083641884;0,561116056605328;1,23851308352952
"Burgenland";2020-08-11;0,799982583415799;0,501344825927756;1,16727388649432
"Burgenland";2020-08-12;0,694119348778514;0,411379117072148;1,04961052236053
"Burgenland";2020-08-13;0,797671723421931;0,480250484958922;1,19431441895226
"Burgenland";2020-08-14;0,874952099607238;0,526778319719801;1,31002250395774
